"f" "voor" "ref" "hyp"
"38" "aceabc_result.TextGrid" 2 "nii" "nii"
"39" "aceabc_result.TextGrid" 2 "väike" "väike"
"40" "aceabc_result.TextGrid" 2 "kui" "kui"
"41" "aceabc_result.TextGrid" 2 "ka" "ka"
"42" "aceabc_result.TextGrid" 2 "suur" "suur"
"43" "aceabc_result.TextGrid" 2 "ja" "ja"
"44" "aceabc_result.TextGrid" 2 "peale" "peale"
"45" "aceabc_result.TextGrid" 2 "selle" "selle"
"46" "aceabc_result.TextGrid" 2 "on" "on"
"47" "aceabc_result.TextGrid" 2 "meil" "meil"
"48" "aceabc_result.TextGrid" 2 "nüüd" "nüüd"
"49" "aceabc_result.TextGrid" 2 "ka" "ka"
"50" "aceabc_result.TextGrid" 2 "merch" "mur"
"51" "aceabc_result.TextGrid" 3 "kleepsud" "kleepsud"
"52" "aceabc_result.TextGrid" 3 "ja" "ja"
"53" "aceabc_result.TextGrid" 3 "märgid" "märgid"
"54" "aceabc_result.TextGrid" 3 "nii" "nii"
"55" "aceabc_result.TextGrid" 3 "et" "et"
"56" "aceabc_result.TextGrid" 3 "kõik" "kõik"
"57" "aceabc_result.TextGrid" 3 "kohad" "kohad"
"58" "aceabc_result.TextGrid" 3 "saab" "saab"
"59" "aceabc_result.TextGrid" 3 "lillat" "lillat"
"60" "aceabc_result.TextGrid" 3 "agendat" "agendad"
"61" "aceabc_result.TextGrid" 3 "täis" "täis"
"62" "aceabc_result.TextGrid" 3 "kleepsutada" "kleepsutada"
"63" "aceabc_result.TextGrid" 3 "jee" "####"
"64" "aceabc_result.TextGrid" 3 "kleepige" "kleepige"
"65" "aceabc_result.TextGrid" 3 "nii" "nii"
"66" "aceabc_result.TextGrid" 3 "palju" "palju"
"67" "aceabc_result.TextGrid" 3 "kui" "kui"
"68" "aceabc_result.TextGrid" 3 "jaksate" "jaksate"
"69" "aceabc_result.TextGrid" 3 "ja" "ja"
"70" "aceabc_result.TextGrid" 3 "nüüd" "nüüd"
"71" "aceabc_result.TextGrid" 3 "meie" "meie"
"72" "aceabc_result.TextGrid" 3 "tänase" "tänase"
"73" "aceabc_result.TextGrid" 3 "saate" "saate"
"74" "aceabc_result.TextGrid" 3 "juurde" "juurde"
"75" "aceabc_result.TextGrid" 3 "tere" "tere"
"76" "aceabc_result.TextGrid" 3 "mel" "mel"
"77" "aceabc_result.TextGrid" 3 "tere" "tere"
"78" "aceabc_result.TextGrid" 3 "paul" "vool"
"79" "aceabc_result.TextGrid" 4 "töötan" "töötan"
"80" "aceabc_result.TextGrid" 4 "kultuuri" "kultuuri"
"81" "aceabc_result.TextGrid" 4 "valdkonnas" "valdkonnas"
"82" "aceabc_result.TextGrid" 4 "ma" "ma"
"83" "aceabc_result.TextGrid" 4 "töötan" "töötan"
"84" "aceabc_result.TextGrid" 4 "veidi" "veidi"
"85" "aceabc_result.TextGrid" 4 "õpetajana" "õpetajana"
"86" "aceabc_result.TextGrid" 4 "ka" "ka"
"87" "aceabc_result.TextGrid" 4 "aga" "aga"
"88" "aceabc_result.TextGrid" 4 "mitte" "mitte"
"89" "aceabc_result.TextGrid" 4 "mingisugune" "mingisugune"
"90" "aceabc_result.TextGrid" 4 "elutähtis" "elutähtis"
"91" "aceabc_result.TextGrid" 4 "aine" "aine"
"92" "aceabc_result.TextGrid" 4 "nii" "nii"
"93" "aceabc_result.TextGrid" 4 "et" "et"
"94" "aceabc_result.TextGrid" 4 "ärge" "ärge"
"95" "aceabc_result.TextGrid" 4 "ärge" "ärge"
"96" "aceabc_result.TextGrid" 4 "muretsege" "muretsege"
"97" "aceabc_result.TextGrid" 4 "laste" "####"
"98" "aceabc_result.TextGrid" 4 "eksamid" "lasteeksamit"
"99" "aceabc_result.TextGrid" 4 "ei" "ei"
"100" "aceabc_result.TextGrid" 4 "ole" "ole"
"101" "aceabc_result.TextGrid" 4 "ohus" "ohus"
"102" "aceabc_result.TextGrid" 5 "ja" "ja"
"103" "aceabc_result.TextGrid" 5 "ma" "ma"
"104" "aceabc_result.TextGrid" 5 "kogemata" "kogemata"
"105" "aceabc_result.TextGrid" 5 "vahe" "vahe"
"106" "aceabc_result.TextGrid" 5 "paar" "paar"
"107" "aceabc_result.TextGrid" 5 "aastat" "aastat"
"108" "aceabc_result.TextGrid" 5 "tagasi" "tagasi"
"109" "aceabc_result.TextGrid" 5 "olin" "olin"
"110" "aceabc_result.TextGrid" 5 "staar" "staar"
"111" "aceabc_result.TextGrid" 5 "aseksuaal" "aseksuaal"
"112" "aceabc_result.TextGrid" 5 "okei" "####"
"113" "aceabc_result.TextGrid" 5 "okei" "####"
"114" "aceabc_result.TextGrid" 6 "ja" "ja"
"115" "aceabc_result.TextGrid" 6 "ja" "ja"
"116" "aceabc_result.TextGrid" 6 "põhimõtteliselt" "põhimõtteliselt"
"117" "aceabc_result.TextGrid" 6 "noh" "noh"
"118" "aceabc_result.TextGrid" 6 "muidu" "muidu"
"119" "aceabc_result.TextGrid" 6 "elan" "elan"
"120" "aceabc_result.TextGrid" 6 "sellist" "sellist"
"121" "aceabc_result.TextGrid" 6 "rahulikku" "rahulikku"
"122" "aceabc_result.TextGrid" 6 "elu" "elu"
"123" "aceabc_result.TextGrid" 7 "ma" "ma"
"124" "aceabc_result.TextGrid" 7 "määratlen" "määratlen"
"125" "aceabc_result.TextGrid" 7 "ennast" "ennast"
"126" "aceabc_result.TextGrid" 7 "kui" "kui"
"127" "aceabc_result.TextGrid" 8 "aseksuaalina" "aseksuaalina"
"128" "aceabc_result.TextGrid" 8 "sex" "sex"
"129" "aceabc_result.TextGrid" 8 "favorable" "faverobal"
"130" "aceabc_result.TextGrid" 8 "ja" "ja"
"131" "aceabc_result.TextGrid" 9 "tõenäoliselt" "tõenäoliselt"
"132" "aceabc_result.TextGrid" 9 "ma" "ma"
"133" "aceabc_result.TextGrid" 9 "ei" "ei"
"134" "aceabc_result.TextGrid" 9 "ole" "ole"
"135" "aceabc_result.TextGrid" 9 "aromantiline" "aromantiline"
"136" "aceabc_result.TextGrid" 9 "aga" "aga"
"137" "aceabc_result.TextGrid" 9 "ma" "ma"
"138" "aceabc_result.TextGrid" 9 "ei" "ei"
"139" "aceabc_result.TextGrid" 9 "ole" "ole"
"140" "aceabc_result.TextGrid" 9 "selles" "selles"
"141" "aceabc_result.TextGrid" 9 "kindel" "kindel"
"142" "aceabc_result.TextGrid" 10 "et" "et"
"143" "aceabc_result.TextGrid" 10 "ma" "ma"
"144" "aceabc_result.TextGrid" 10 "ei" "ei"
"145" "aceabc_result.TextGrid" 10 "ma" "ma"
"146" "aceabc_result.TextGrid" 10 "oletan" "oletan"
"147" "aceabc_result.TextGrid" 10 "et" "et"
"148" "aceabc_result.TextGrid" 10 "ma" "ma"
"149" "aceabc_result.TextGrid" 10 "ei" "ei"
"150" "aceabc_result.TextGrid" 10 "ole" "ole"
"151" "aceabc_result.TextGrid" 10 "et" "####"
"152" "aceabc_result.TextGrid" 10 "et" "et"
"153" "aceabc_result.TextGrid" 10 "hetkel" "hetkel"
"154" "aceabc_result.TextGrid" 10 "ma" "ma"
"155" "aceabc_result.TextGrid" 10 "ikkagi" "ikkagi"
"156" "aceabc_result.TextGrid" 10 "defineerin" "defineeri"
"157" "aceabc_result.TextGrid" 10 "ennast" "ennast"
"158" "aceabc_result.TextGrid" 10 "kui" "kui"
"159" "aceabc_result.TextGrid" 10 "heteroromantiline" "heteroromantiline"
"160" "aceabc_result.TextGrid" 10 "aseksuaal" "aseksuaal"
"161" "aceabc_result.TextGrid" 10 "okei" "okei"
"162" "aceabc_result.TextGrid" 10 "okei" "okei"
"163" "aceabc_result.TextGrid" 10 "jaa" "ja"
"164" "aceabc_result.TextGrid" 10 "et" "et"
"165" "aceabc_result.TextGrid" 10 "võibolla" "võibolla"
"166" "aceabc_result.TextGrid" 10 "siin" "siin"
"167" "aceabc_result.TextGrid" 10 "on" "on"
"168" "aceabc_result.TextGrid" 10 "palju" "palju"
"169" "aceabc_result.TextGrid" 10 "sõnavara" "sõnavara"
"170" "aceabc_result.TextGrid" 10 "mida" "mida"
"171" "aceabc_result.TextGrid" 10 "kõik" "kõik"
"172" "aceabc_result.TextGrid" 10 "ei" "ei"
"173" "aceabc_result.TextGrid" 10 "pruugi" "pruugi"
"174" "aceabc_result.TextGrid" 10 "teada" "teada"
"175" "aceabc_result.TextGrid" 10 "et" "et"
"176" "aceabc_result.TextGrid" 10 "äkki" "äkki"
"177" "aceabc_result.TextGrid" 10 "käiks" "käiks"
"178" "aceabc_result.TextGrid" 10 "sellised" "sellised"
"179" "aceabc_result.TextGrid" 10 "baasasjad" "baasasjad"
"180" "aceabc_result.TextGrid" 10 "üle" "üle"
"181" "aceabc_result.TextGrid" 10 "et" "et"
"182" "aceabc_result.TextGrid" 10 "mida" "mida"
"183" "aceabc_result.TextGrid" 10 "üldse" "üldse"
"184" "aceabc_result.TextGrid" 10 "tähendab" "tähendab"
"185" "aceabc_result.TextGrid" 10 "sinu" "sinu"
"186" "aceabc_result.TextGrid" 10 "jaoks" "jaoks"
"187" "aceabc_result.TextGrid" 10 "aseksuaalsus" "aseksuaalsus"
"188" "aceabc_result.TextGrid" 10 "et" "et"
"189" "aceabc_result.TextGrid" 10 "et" "et"
"190" "aceabc_result.TextGrid" 10 "üldiselt" "üldiselt"
"191" "aceabc_result.TextGrid" 10 "aseksuaalsus" "aseksuaalsus"
"192" "aceabc_result.TextGrid" 10 "on" "on"
"193" "aceabc_result.TextGrid" 10 "selline" "selline"
"194" "aceabc_result.TextGrid" 10 "katusetermin" "katusetermin"
"195" "aceabc_result.TextGrid" 10 "mille" "mille"
"196" "aceabc_result.TextGrid" 10 "alla" "alla"
"197" "aceabc_result.TextGrid" 10 "mahub" "mahub"
"198" "aceabc_result.TextGrid" 10 "hästi" "hästi"
"199" "aceabc_result.TextGrid" 10 "palju" "palju"
"200" "aceabc_result.TextGrid" 10 "selliseid" "selliseid"
"201" "aceabc_result.TextGrid" 11 "mikro" "mikro"
"202" "aceabc_result.TextGrid" 11 "micro" "micro"
"203" "aceabc_result.TextGrid" 11 "labels" "labls"
"204" "aceabc_result.TextGrid" 11 "ütleme" "ütleme"
"205" "aceabc_result.TextGrid" 11 "niimoodi" "niimoodi"
"206" "aceabc_result.TextGrid" 11 "mhmh" "mikrosilte"
"207" "aceabc_result.TextGrid" 11 "mikrosilte" "a"
"208" "aceabc_result.TextGrid" 11 "aseksuaalsus" "seksuaalses"
"209" "aceabc_result.TextGrid" 11 "otsesõnaliselt" "otsesenaselt"
"210" "aceabc_result.TextGrid" 11 "tähendab" "tähendab"
"211" "aceabc_result.TextGrid" 11 "et" "et"
"212" "aceabc_result.TextGrid" 11 "sul" "sul"
"213" "aceabc_result.TextGrid" 11 "ei" "ei"
"214" "aceabc_result.TextGrid" 11 "ole" "ole"
"215" "aceabc_result.TextGrid" 11 "seksuaalset" "seksuaalset"
"216" "aceabc_result.TextGrid" 11 "tõmmet" "tõmmet"
"217" "aceabc_result.TextGrid" 12 "ja" "ja"
"218" "aceabc_result.TextGrid" 12 "aseksuaalid" "seksuaalid"
"219" "aceabc_result.TextGrid" 12 "omavahel" "omavahel"
"220" "aceabc_result.TextGrid" 12 "nad" "nad"
"221" "aceabc_result.TextGrid" 12 "jagunevad" "jagunevad"
"222" "aceabc_result.TextGrid" 12 "siis" "siis"
"223" "aceabc_result.TextGrid" 12 "sex" "####"
"224" "aceabc_result.TextGrid" 12 "repulsed" "exrepost"
"225" "aceabc_result.TextGrid" 12 "ehk" "ehk"
"226" "aceabc_result.TextGrid" 12 "siis" "siis"
"227" "aceabc_result.TextGrid" 12 "igasugune" "igasugune"
"228" "aceabc_result.TextGrid" 12 "tegevus" "tegevus"
"229" "aceabc_result.TextGrid" 12 "mida" "mida"
"230" "aceabc_result.TextGrid" 12 "nad" "nad"
"231" "aceabc_result.TextGrid" 12 "näevad" "näevad"
"232" "aceabc_result.TextGrid" 12 "kui" "kui"
"233" "aceabc_result.TextGrid" 12 "seksuaalset" "seksuaalset"
"234" "aceabc_result.TextGrid" 12 "tekitab" "tekitab"
"235" "aceabc_result.TextGrid" 12 "vaimsel" "vaimsel"
"236" "aceabc_result.TextGrid" 12 "või" "või"
"237" "aceabc_result.TextGrid" 12 "lausa" "lausa"
"238" "aceabc_result.TextGrid" 12 "füüsilisel" "füüsiliselt"
"239" "aceabc_result.TextGrid" 12 "tasemel" "tasemel"
"240" "aceabc_result.TextGrid" 12 "tõrjuvust" "tõrjuvust"
"241" "aceabc_result.TextGrid" 12 "ja" "ja"
"242" "aceabc_result.TextGrid" 12 "ja" "ja"
"243" "aceabc_result.TextGrid" 12 "ebamugavust" "ebamugavust"
"244" "aceabc_result.TextGrid" 12 "stressi" "stressi"
"245" "aceabc_result.TextGrid" 12 "siis" "siis"
"246" "aceabc_result.TextGrid" 12 "on" "on"
"247" "aceabc_result.TextGrid" 12 "sex" "sex"
"248" "aceabc_result.TextGrid" 12 "neutral" "newtro"
"249" "aceabc_result.TextGrid" 12 "mis" "mis"
"250" "aceabc_result.TextGrid" 12 "tähendab" "tähendab"
"251" "aceabc_result.TextGrid" 12 "et" "et"
"252" "aceabc_result.TextGrid" 12 "neil" "neil"
"253" "aceabc_result.TextGrid" 12 "nendel" "nendel"
"254" "aceabc_result.TextGrid" 12 "inimestel" "inimestel"
"255" "aceabc_result.TextGrid" 12 "on" "####"
"256" "aceabc_result.TextGrid" 12 "neil" "####"
"257" "aceabc_result.TextGrid" 12 "on" "on"
"258" "aceabc_result.TextGrid" 12 "suhteliselt" "suhteliselt"
"259" "aceabc_result.TextGrid" 12 "ükskõik" "ükskõik"
"260" "aceabc_result.TextGrid" 12 "et" "et"
"261" "aceabc_result.TextGrid" 12 "näiteks" "näiteks"
"262" "aceabc_result.TextGrid" 12 "kui" "kui"
"263" "aceabc_result.TextGrid" 12 "ne" "####"
"264" "aceabc_result.TextGrid" 12 "neil" "neil"
"265" "aceabc_result.TextGrid" 12 "on" "on"
"266" "aceabc_result.TextGrid" 12 "partner" "partner"
"267" "aceabc_result.TextGrid" 12 "kes" "kes"
"268" "aceabc_result.TextGrid" 12 "on" "on"
"269" "aceabc_result.TextGrid" 12 "alloseksuaalne" "aloseksuaalne"
"270" "aceabc_result.TextGrid" 12 "ehk" "ehk"
"271" "aceabc_result.TextGrid" 12 "siis" "siis"
"272" "aceabc_result.TextGrid" 12 "kes" "kes"
"273" "aceabc_result.TextGrid" 12 "tunneb" "tunneb"
"274" "aceabc_result.TextGrid" 12 "seksuaalset" "seksuaalset"
"275" "aceabc_result.TextGrid" 12 "tõmmet" "tõmmet"
"276" "aceabc_result.TextGrid" 12 "et" "et"
"277" "aceabc_result.TextGrid" 12 "nad" "nad"
"278" "aceabc_result.TextGrid" 12 "võivad" "võivad"
"279" "aceabc_result.TextGrid" 12 "tema" "tema"
"280" "aceabc_result.TextGrid" 12 "rõõmustamiseks" "rõõmustamiseks"
"281" "aceabc_result.TextGrid" 12 "tegeleda" "tegeleda"
"282" "aceabc_result.TextGrid" 12 "mingisuguste" "mingisuguse"
"283" "aceabc_result.TextGrid" 12 "seksuaalsete" "seksuaalsete"
"284" "aceabc_result.TextGrid" 12 "tegevustega" "tegevustega"
"285" "aceabc_result.TextGrid" 12 "et" "####"
"286" "aceabc_result.TextGrid" 13 "nad" "nad"
"287" "aceabc_result.TextGrid" 13 "võivad" "võivad"
"288" "aceabc_result.TextGrid" 13 "isegi" "isegi"
"289" "aceabc_result.TextGrid" 13 "noh" "####"
"290" "aceabc_result.TextGrid" 13 "võibolla" "võibolla"
"291" "aceabc_result.TextGrid" 13 "selle" "selle"
"292" "aceabc_result.TextGrid" 13 "jaoks" "jaoks"
"293" "aceabc_result.TextGrid" 13 "et" "et"
"294" "aceabc_result.TextGrid" 13 "olla" "olla"
"295" "aceabc_result.TextGrid" 13 "emotsionaalselt" "emotsionaalselt"
"296" "aceabc_result.TextGrid" 13 "lähedasem" "lähedasem"
"297" "aceabc_result.TextGrid" 13 "oma" "oma"
"298" "aceabc_result.TextGrid" 13 "partneriga" "partneriga"
"299" "aceabc_result.TextGrid" 14 "seks" "seks"
"300" "aceabc_result.TextGrid" 14 "on" "on"
"301" "aceabc_result.TextGrid" 14 "ka" "ka"
"302" "aceabc_result.TextGrid" 14 "stressi" "stressi"
"303" "aceabc_result.TextGrid" 14 "madaldamise" "madaldamise"
"304" "aceabc_result.TextGrid" 15 "vahend" "vahend"
"305" "aceabc_result.TextGrid" 15 "ehk" "ehk"
"306" "aceabc_result.TextGrid" 15 "siis" "siis"
"307" "aceabc_result.TextGrid" 15 "neil" "neil"
"308" "aceabc_result.TextGrid" 15 "on" "on"
"309" "aceabc_result.TextGrid" 15 "neil" "neil"
"310" "aceabc_result.TextGrid" 15 "on" "on"
"311" "aceabc_result.TextGrid" 15 "suhteliselt" "suhteliselt"
"312" "aceabc_result.TextGrid" 15 "ükskõik" "ükskõik"
"313" "aceabc_result.TextGrid" 15 "ja" "ja"
"314" "aceabc_result.TextGrid" 15 "sex" "sex"
"315" "aceabc_result.TextGrid" 15 "favorable" "faverb"
"316" "aceabc_result.TextGrid" 15 "on" "on"
"317" "aceabc_result.TextGrid" 15 "siis" "siis"
"318" "aceabc_result.TextGrid" 15 "need" "need"
"319" "aceabc_result.TextGrid" 15 "kes" "kes"
"320" "aceabc_result.TextGrid" 15 "naudivad" "naudivad"
"321" "aceabc_result.TextGrid" 15 "seksuaalseid" "seksuaalseid"
"322" "aceabc_result.TextGrid" 15 "tegevusi" "tegevusi"
"323" "aceabc_result.TextGrid" 15 "aga" "aga"
"324" "aceabc_result.TextGrid" 15 "lihtsalt" "lihtsalt"
"325" "aceabc_result.TextGrid" 15 "neil" "neil"
"326" "aceabc_result.TextGrid" 15 "ikkagi" "ikkagi"
"327" "aceabc_result.TextGrid" 15 "ei" "ei"
"328" "aceabc_result.TextGrid" 15 "ole" "ole"
"329" "aceabc_result.TextGrid" 15 "tõmmet" "tõmmet"
"330" "aceabc_result.TextGrid" 15 "et" "####"
"331" "aceabc_result.TextGrid" 15 "et" "et"
"332" "aceabc_result.TextGrid" 15 "noh" "noh"
"333" "aceabc_result.TextGrid" 15 "nende" "nende"
"334" "aceabc_result.TextGrid" 15 "jaoks" "jaoks"
"335" "aceabc_result.TextGrid" 15 "tunda" "tunda"
"336" "aceabc_result.TextGrid" 15 "tõmmet" "tõmmet"
"337" "aceabc_result.TextGrid" 15 "om" "####"
"338" "aceabc_result.TextGrid" 15 "seksuaalset" "seksuaalset"
"339" "aceabc_result.TextGrid" 15 "tõmmet" "tõmmet"
"340" "aceabc_result.TextGrid" 15 "oma" "oma"
"341" "aceabc_result.TextGrid" 15 "partneri" "partneri"
"342" "aceabc_result.TextGrid" 15 "suhtes" "suhtes"
"343" "aceabc_result.TextGrid" 15 "on" "on"
"344" "aceabc_result.TextGrid" 15 "umbes" "umbes"
"345" "aceabc_result.TextGrid" 15 "sama" "sama"
"346" "aceabc_result.TextGrid" 15 "nagu" "nagu"
"347" "aceabc_result.TextGrid" 15 "keegi" "keegi"
"348" "aceabc_result.TextGrid" 15 "tunneks" "tunneks"
"349" "aceabc_result.TextGrid" 15 "tõmmet" "tõmmet"
"350" "aceabc_result.TextGrid" 15 "oma" "oma"
"351" "aceabc_result.TextGrid" 15 "vibraatori" "vibraatori"
"352" "aceabc_result.TextGrid" 15 "suhtes" "suhtes"
"353" "aceabc_result.TextGrid" 15 "et" "et"
"354" "aceabc_result.TextGrid" 15 "see" "####"
"355" "aceabc_result.TextGrid" 15 "o" "####"
"356" "aceabc_result.TextGrid" 15 "see" "####"
"357" "aceabc_result.TextGrid" 16 "et" "et"
"358" "aceabc_result.TextGrid" 16 "tegevus" "tegevus"
"359" "aceabc_result.TextGrid" 16 "on" "on"
"360" "aceabc_result.TextGrid" 16 "tore" "tore"
"361" "aceabc_result.TextGrid" 16 "aga" "aga"
"362" "aceabc_result.TextGrid" 16 "tõmmet" "tõmmet"
"363" "aceabc_result.TextGrid" 16 "otseselt" "otseselt"
"364" "aceabc_result.TextGrid" 16 "ei" "ei"
"365" "aceabc_result.TextGrid" 16 "ole" "ole"
"366" "aceabc_result.TextGrid" 17 "ja" "ja"
"367" "aceabc_result.TextGrid" 17 "ja" "ja"
"368" "aceabc_result.TextGrid" 17 "####" "siis"
"369" "aceabc_result.TextGrid" 17 "siis" "nagu"
"370" "aceabc_result.TextGrid" 17 "####" "ma"
"371" "aceabc_result.TextGrid" 17 "nagu" "mainisin"
"372" "aceabc_result.TextGrid" 17 "mainisin" "aa"
"373" "aceabc_result.TextGrid" 17 "aromantiline" "romantiline"
"374" "aceabc_result.TextGrid" 17 "on" "on"
"375" "aceabc_result.TextGrid" 17 "inimene" "inimene"
"376" "aceabc_result.TextGrid" 17 "kes" "kes"
"377" "aceabc_result.TextGrid" 17 "ei" "ei"
"378" "aceabc_result.TextGrid" 17 "tunne" "tunne"
"379" "aceabc_result.TextGrid" 17 "romantilist" "romantilist"
"380" "aceabc_result.TextGrid" 17 "tõmmet" "####"
"381" "aceabc_result.TextGrid" 17 "kes" "tõmmet"
"382" "aceabc_result.TextGrid" 17 "ei" "kes"
"383" "aceabc_result.TextGrid" 17 "ei" "ei"
"384" "aceabc_result.TextGrid" 17 "tunne" "tunne"
"385" "aceabc_result.TextGrid" 17 "ennast" "ennast"
"386" "aceabc_result.TextGrid" 17 "mugavalt" "mugavalt"
"387" "aceabc_result.TextGrid" 17 "tegevustes" "tegevustest"
"388" "aceabc_result.TextGrid" 17 "mis" "mis"
"389" "aceabc_result.TextGrid" 17 "mida" "mida"
"390" "aceabc_result.TextGrid" 17 "me" "me"
"391" "aceabc_result.TextGrid" 17 "defineerime" "defineerime"
"392" "aceabc_result.TextGrid" 17 "romantilistena" "romantilistena"
"393" "aceabc_result.TextGrid" 17 "ja" "ja"
"394" "aceabc_result.TextGrid" 17 "siis" "siis"
"395" "aceabc_result.TextGrid" 17 "ta" "ta"
"396" "aceabc_result.TextGrid" 17 "võib" "võib"
"397" "aceabc_result.TextGrid" 17 "või" "või"
"398" "aceabc_result.TextGrid" 17 "ei" "ei"
"399" "aceabc_result.TextGrid" 17 "pruugi" "pruugi"
"400" "aceabc_result.TextGrid" 17 "olla" "olla"
"401" "aceabc_result.TextGrid" 17 "ka" "ka"
"402" "aceabc_result.TextGrid" 17 "aseksuaalne" "aseksuaalne"
"403" "aceabc_result.TextGrid" 17 "üldiselt" "üldiselt"
"404" "aceabc_result.TextGrid" 17 "aromantiline" "romantiline"
"405" "aceabc_result.TextGrid" 17 "ka" "ka"
"406" "aceabc_result.TextGrid" 17 "läheb" "läheb"
"407" "aceabc_result.TextGrid" 17 "sinna" "sinna"
"408" "aceabc_result.TextGrid" 17 "aseksuaalsuse" "aseksuaalsuse"
"409" "aceabc_result.TextGrid" 18 "ja" "ja"
"410" "aceabc_result.TextGrid" 18 "siis" "siis"
"411" "aceabc_result.TextGrid" 18 "seal" "seal"
"412" "aceabc_result.TextGrid" 18 "on" "on"
"413" "aceabc_result.TextGrid" 18 "sellised" "sellised"
"414" "aceabc_result.TextGrid" 18 "veel" "veel"
"415" "aceabc_result.TextGrid" 18 "mikro" "mikro"
"416" "aceabc_result.TextGrid" 18 "mikrolabelid" "####"
"417" "aceabc_result.TextGrid" 18 "nagu" "####"
"418" "aceabc_result.TextGrid" 18 "gray" "####"
"419" "aceabc_result.TextGrid" 18 "ace" "####"
"420" "aceabc_result.TextGrid" 18 "ja" "mikrolaineahju"
"421" "aceabc_result.TextGrid" 19 "demiseksuaal" "demiseksuaal"
"422" "aceabc_result.TextGrid" 19 "ja" "ja"
"423" "aceabc_result.TextGrid" 19 "gray" "gra"
"424" "aceabc_result.TextGrid" 19 "ace" "se"
"425" "aceabc_result.TextGrid" 19 "on" "on"
"426" "aceabc_result.TextGrid" 19 "siis" "siis"
"427" "aceabc_result.TextGrid" 19 "inimene" "inimene"
"428" "aceabc_result.TextGrid" 19 "kes" "kes"
"429" "aceabc_result.TextGrid" 19 "on" "on"
"430" "aceabc_result.TextGrid" 19 "niimoodi" "niimoodi"
"431" "aceabc_result.TextGrid" 19 "seksuaalsuse" "seksuaalsuse"
"432" "aceabc_result.TextGrid" 19 "ja" "ja"
"433" "aceabc_result.TextGrid" 19 "aseksuaalsuse" "seksuaalsuse"
"434" "aceabc_result.TextGrid" 19 "vahepeal" "vahepeal"
"435" "aceabc_result.TextGrid" 19 "ehk" "ehk"
"436" "aceabc_result.TextGrid" 19 "siis" "siis"
"437" "aceabc_result.TextGrid" 19 "ta" "ta"
"438" "aceabc_result.TextGrid" 19 "hästi" "hästi"
"439" "aceabc_result.TextGrid" 19 "harva" "harva"
"440" "aceabc_result.TextGrid" 19 "tunneb" "tunneb"
"441" "aceabc_result.TextGrid" 19 "seda" "seda"
"442" "aceabc_result.TextGrid" 19 "tõmmet" "tõmmet"
"443" "aceabc_result.TextGrid" 20 "või" "või"
"444" "aceabc_result.TextGrid" 20 "siis" "siis"
"445" "aceabc_result.TextGrid" 20 "võib" "võib"
"446" "aceabc_result.TextGrid" 20 "olla" "olla"
"447" "aceabc_result.TextGrid" 20 "hästi" "hästi"
"448" "aceabc_result.TextGrid" 20 "kindlatel" "kindlatel"
"449" "aceabc_result.TextGrid" 20 "tingimustel" "tingimustel"
"450" "aceabc_result.TextGrid" 21 "ja" "ja"
"451" "aceabc_result.TextGrid" 21 "siis" "siis"
